Alg,k,p,best_model,rmse,aic
FirstFit,2,0.05,poly deg 2,0.12198250881496799,-44.49306275751621
FirstFit,2,0.1,a + b log n,0.15391774505990477,-40.91208661401525
FirstFit,2,0.2,poly deg 2,0.08079364209197962,-54.38056808475649
FirstFit,2,0.3,poly deg 2,0.05975856796762465,-61.61862483607641
FirstFit,3,0.05,poly deg 2,0.054275772266695714,-63.92825602908603
FirstFit,3,0.1,a + b sqrt n,0.11025930842235138,-48.91808811402797
FirstFit,3,0.2,poly deg 2,0.1454732637887832,-40.26631111882587
FirstFit,3,0.3,a + b log n,0.09332136741083222,-52.92094829630338
FirstFit,4,0.05,poly deg 2,0.03992234096079899,-71.29966051093507
FirstFit,4,0.1,poly deg 2,0.06704624505654727,-58.8569441510908
FirstFit,4,0.2,poly deg 2,0.1371105318056694,-41.68722904661174
FirstFit,4,0.3,a + b log n,0.112135031512894,-48.51323588906088
CBIP,2,0.05,a + b log n,0.021478959765679134,-88.17635452532377
CBIP,2,0.1,poly deg 2,0.023290101284222035,-84.23344431039779
CBIP,2,0.2,poly deg 2,0.029058350875523966,-78.92278491359772
CBIP,2,0.3,poly deg 2,0.036990544734340734,-73.1302307211916
