Algorithm,k,n,N,AvgCompetitiveRatio,StdDev
FirstFit[p=0.05],2,50,100,2.04,0.3056141357987225
FirstFit[p=0.05],2,100,100,2.515,0.4327528162819972
FirstFit[p=0.05],2,150,100,2.795,0.5342986056504359
FirstFit[p=0.05],2,200,100,3.245,0.5361669516111562
FirstFit[p=0.05],2,300,100,3.7,0.7713624310270756
FirstFit[p=0.05],2,400,100,4.16,0.6923871749245505
FirstFit[p=0.05],2,500,100,4.26,0.9525754563287887
FirstFit[p=0.05],2,600,100,4.575,0.928372231381357
FirstFit[p=0.05],2,700,100,4.7,1.1532562594670797
FirstFit[p=0.05],2,800,100,4.96,1.215894732285653
FirstFit[p=0.05],2,900,100,5.29,1.229186723000212
FirstFit[p=0.05],2,1000,100,5.15,1.2278029157808674
FirstFit[p=0.05],3,50,100,1.8733333333333333,0.18726095873584184
FirstFit[p=0.05],3,100,100,2.36,0.1866666666666666
FirstFit[p=0.05],3,150,100,2.7333333333333334,0.23570226039551587
FirstFit[p=0.05],3,200,100,3.1033333333333335,0.20382454328280603
FirstFit[p=0.05],3,300,100,3.78,0.22715633383201095
FirstFit[p=0.05],3,400,100,4.3133333333333335,0.2530700386146975
FirstFit[p=0.05],3,500,100,4.823333333333333,0.3604164258188019
FirstFit[p=0.05],3,600,100,5.366666666666666,0.3144660377352202
FirstFit[p=0.05],3,700,100,5.72,0.3964284999284935
FirstFit[p=0.05],3,800,100,6.223333333333334,0.3973663297261106
FirstFit[p=0.05],3,900,100,6.61,0.43219080148574296
FirstFit[p=0.05],3,1000,100,6.943333333333333,0.5375975363700164
FirstFit[p=0.05],4,50,100,1.6325,0.15188400179084036
FirstFit[p=0.05],4,100,100,2.0375,0.1386317063301177
FirstFit[p=0.05],4,150,100,2.3675,0.12968712349342937
FirstFit[p=0.05],4,200,100,2.6775,0.15530212490497353
FirstFit[p=0.05],4,300,100,3.2325,0.14686303142724516
FirstFit[p=0.05],4,400,100,3.785,0.15419143945109273
FirstFit[p=0.05],4,500,100,4.235,0.16515144564913745
FirstFit[p=0.05],4,600,100,4.7075,0.18389874931602987
FirstFit[p=0.05],4,700,100,5.1175,0.16753730927766508
FirstFit[p=0.05],4,800,100,5.565,0.16054594358002322
FirstFit[p=0.05],4,900,100,5.9525,0.1926622692693097
FirstFit[p=0.05],4,1000,100,6.3625,0.20116846174288852
CBIP[p=0.05],2,50,100,1.91,0.25865034312755125
CBIP[p=0.05],2,100,100,1.985,0.2688401011754013
CBIP[p=0.05],2,150,100,2.005,0.2692118125194361
CBIP[p=0.05],2,200,100,2.045,0.21324868112136122
CBIP[p=0.05],2,300,100,2.06,0.27640549922170504
CBIP[p=0.05],2,400,100,2.05,0.229128784747792
CBIP[p=0.05],2,500,100,2.035,0.2669737814842499
CBIP[p=0.05],2,600,100,2.045,0.24591665254715875
CBIP[p=0.05],2,700,100,2.07,0.2238302928559939
CBIP[p=0.05],2,800,100,2.07,0.24515301344262524
CBIP[p=0.05],2,900,100,2.06,0.24779023386727733
CBIP[p=0.05],2,1000,100,2.05,0.20615528128088303
FirstFit(HeuristicDegree)[p=0.05],2,50,100,1.37,0.4160528812542944
FirstFit(HeuristicDegree)[p=0.05],2,100,100,1.68,0.642339474110069
FirstFit(HeuristicDegree)[p=0.05],2,150,100,1.955,0.7908697743623788
FirstFit(HeuristicDegree)[p=0.05],2,200,100,2.135,0.8968138045324682
FirstFit(HeuristicDegree)[p=0.05],2,300,100,2.555,1.0341542438147222
FirstFit(HeuristicDegree)[p=0.05],2,400,100,2.695,1.165965265348844
FirstFit(HeuristicDegree)[p=0.05],2,500,100,2.535,1.3327696725241012
FirstFit(HeuristicDegree)[p=0.05],2,600,100,2.95,1.439618004888797
FirstFit(HeuristicDegree)[p=0.05],2,700,100,3.02,1.526302722267113
FirstFit(HeuristicDegree)[p=0.05],2,800,100,3.135,1.4813085431469029
FirstFit(HeuristicDegree)[p=0.05],2,900,100,3.51,1.5921369287847074
FirstFit(HeuristicDegree)[p=0.05],2,1000,100,3.39,1.697910480561328
FirstFit(HeuristicDegree)[p=0.05],3,50,100,1.59,0.19353437822659716
FirstFit(HeuristicDegree)[p=0.05],3,100,100,1.99,0.23783747952470963
FirstFit(HeuristicDegree)[p=0.05],3,150,100,2.3733333333333335,0.2416609194718914
FirstFit(HeuristicDegree)[p=0.05],3,200,100,2.69,0.35979932678585647
FirstFit(HeuristicDegree)[p=0.05],3,300,100,3.21,0.31852088715742893
FirstFit(HeuristicDegree)[p=0.05],3,400,100,3.6566666666666667,0.46056728305669103
FirstFit(HeuristicDegree)[p=0.05],3,500,100,4.006666666666667,0.512032985048598
FirstFit(HeuristicDegree)[p=0.05],3,600,100,4.54,0.5711197578247296
FirstFit(HeuristicDegree)[p=0.05],3,700,100,4.753333333333333,0.6593262554389223
FirstFit(HeuristicDegree)[p=0.05],3,800,100,5.02,0.7284992183325327
FirstFit(HeuristicDegree)[p=0.05],3,900,100,5.35,0.8450838222724812
FirstFit(HeuristicDegree)[p=0.05],3,1000,100,5.656666666666666,1.0005054278269114
FirstFit(HeuristicDegree)[p=0.05],4,50,100,1.46,0.11575836902790225
FirstFit(HeuristicDegree)[p=0.05],4,100,100,1.8075,0.11648497757221744
FirstFit(HeuristicDegree)[p=0.05],4,150,100,2.1075,0.13808964479641478
FirstFit(HeuristicDegree)[p=0.05],4,200,100,2.4025,0.1409565535901045
FirstFit(HeuristicDegree)[p=0.05],4,300,100,2.91,0.1392838827718412
FirstFit(HeuristicDegree)[p=0.05],4,400,100,3.34,0.2046948949045872
FirstFit(HeuristicDegree)[p=0.05],4,500,100,3.8,0.18027756377319948
FirstFit(HeuristicDegree)[p=0.05],4,600,100,4.1925,0.21170439296339602
FirstFit(HeuristicDegree)[p=0.05],4,700,100,4.65,0.1903943276465977
FirstFit(HeuristicDegree)[p=0.05],4,800,100,4.965,0.255
FirstFit(HeuristicDegree)[p=0.05],4,900,100,5.3125,0.23284920012746446
FirstFit(HeuristicDegree)[p=0.05],4,1000,100,5.7,0.2806243040080456
FirstFit[p=0.1],2,50,100,2.11,0.5548873759602033
FirstFit[p=0.1],2,100,100,2.51,0.7968061244744545
FirstFit[p=0.1],2,150,100,2.91,0.9601562372864116
FirstFit[p=0.1],2,200,100,2.89,1.047807234180028
FirstFit[p=0.1],2,300,100,3.14,1.1069778678907722
FirstFit[p=0.1],2,400,100,3.37,1.4064494303031303
FirstFit[p=0.1],2,500,100,3.655,1.548701068637844
FirstFit[p=0.1],2,600,100,3.565,1.5389200758973807
FirstFit[p=0.1],2,700,100,3.365,1.6835305165039331
FirstFit[p=0.1],2,800,100,3.88,1.8001666589513317
FirstFit[p=0.1],2,900,100,4.02,1.8707217858356169
FirstFit[p=0.1],2,1000,100,3.6,1.711724276862369
FirstFit[p=0.1],3,50,100,2.08,0.2910517327059077
FirstFit[p=0.1],3,100,100,2.86,0.29128069699937975
FirstFit[p=0.1],3,150,100,3.22,0.4502345067974145
FirstFit[p=0.1],3,200,100,3.77,0.48003472096644556
FirstFit[p=0.1],3,300,100,4.543333333333333,0.650905352396013
FirstFit[p=0.1],3,400,100,5.006666666666667,0.7943970459830945
FirstFit[p=0.1],3,500,100,5.67,0.887562204392834
FirstFit[p=0.1],3,600,100,5.8966666666666665,1.0140074512108435
FirstFit[p=0.1],3,700,100,6.576666666666666,1.128277940540854
FirstFit[p=0.1],3,800,100,6.61,1.2754563453481615
FirstFit[p=0.1],3,900,100,7.15,1.5877132402714709
FirstFit[p=0.1],3,1000,100,7.433333333333334,1.393237636267091
FirstFit[p=0.1],4,50,100,1.875,0.1520690632574555
FirstFit[p=0.1],4,100,100,2.465,0.187149672722129
FirstFit[p=0.1],4,150,100,3.0325,0.21405314760591584
FirstFit[p=0.1],4,200,100,3.5175,0.2351993835025934
FirstFit[p=0.1],4,300,100,4.35,0.32015621187164245
FirstFit[p=0.1],4,400,100,5.1275,0.324990384473141
FirstFit[p=0.1],4,500,100,5.78,0.4187481343242021
FirstFit[p=0.1],4,600,100,6.4275,0.35758740190336685
FirstFit[p=0.1],4,700,100,6.98,0.6161168720299746
FirstFit[p=0.1],4,800,100,7.5,0.5196152422706631
FirstFit[p=0.1],4,900,100,7.9525,0.70417948706278
FirstFit[p=0.1],4,1000,100,8.465,0.8015765715139135
CBIP[p=0.1],2,50,100,1.76,0.3277193921634788
CBIP[p=0.1],2,100,100,1.78,0.31874754901018454
CBIP[p=0.1],2,150,100,1.845,0.28892040426387333
CBIP[p=0.1],2,200,100,1.79,0.3014962686336267
CBIP[p=0.1],2,300,100,1.875,0.2947456530637899
CBIP[p=0.1],2,400,100,1.865,0.35252659474144643
CBIP[p=0.1],2,500,100,1.86,0.3006659275674582
CBIP[p=0.1],2,600,100,1.87,0.2794637722496424
CBIP[p=0.1],2,700,100,1.83,0.31
CBIP[p=0.1],2,800,100,1.88,0.3171750305430741
CBIP[p=0.1],2,900,100,1.84,0.29899832775452106
CBIP[p=0.1],2,1000,100,1.855,0.2940663190506522
FirstFit(HeuristicDegree)[p=0.1],2,50,100,1.35,0.507444578254611
FirstFit(HeuristicDegree)[p=0.1],2,100,100,1.44,0.641404708432983
FirstFit(HeuristicDegree)[p=0.1],2,150,100,1.535,0.8070161088850705
FirstFit(HeuristicDegree)[p=0.1],2,200,100,1.575,0.9337424698491549
FirstFit(HeuristicDegree)[p=0.1],2,300,100,1.68,1.021077861869505
FirstFit(HeuristicDegree)[p=0.1],2,400,100,1.74,1.085080642164443
FirstFit(HeuristicDegree)[p=0.1],2,500,100,1.855,1.2654939746992082
FirstFit(HeuristicDegree)[p=0.1],2,600,100,1.815,1.2178977789617649
FirstFit(HeuristicDegree)[p=0.1],2,700,100,1.835,1.3191948301899914
FirstFit(HeuristicDegree)[p=0.1],2,800,100,1.81,1.344953530795767
FirstFit(HeuristicDegree)[p=0.1],2,900,100,1.915,1.3875427921329129
FirstFit(HeuristicDegree)[p=0.1],2,1000,100,1.865,1.438497480011696
FirstFit(HeuristicDegree)[p=0.1],3,50,100,1.68,0.4025474437186808
FirstFit(HeuristicDegree)[p=0.1],3,100,100,2.1333333333333333,0.5734883511361751
FirstFit(HeuristicDegree)[p=0.1],3,150,100,2.486666666666667,0.7061948110196726
FirstFit(HeuristicDegree)[p=0.1],3,200,100,2.5633333333333335,0.9051641962772402
FirstFit(HeuristicDegree)[p=0.1],3,300,100,3.1533333333333333,1.2538119653458586
FirstFit(HeuristicDegree)[p=0.1],3,400,100,3.63,1.2381841543163117
FirstFit(HeuristicDegree)[p=0.1],3,500,100,3.736666666666667,1.4562470791577766
FirstFit(HeuristicDegree)[p=0.1],3,600,100,3.8166666666666664,1.6352879461020517
FirstFit(HeuristicDegree)[p=0.1],3,700,100,4.416666666666667,1.77035777928267
FirstFit(HeuristicDegree)[p=0.1],3,800,100,4.506666666666667,1.8734875381372451
FirstFit(HeuristicDegree)[p=0.1],3,900,100,4.423333333333333,2.1201965317708953
FirstFit(HeuristicDegree)[p=0.1],3,1000,100,5.013333333333334,1.8867491148062643
FirstFit(HeuristicDegree)[p=0.1],4,50,100,1.6475,0.18739997331910163
FirstFit(HeuristicDegree)[p=0.1],4,100,100,2.105,0.265
FirstFit(HeuristicDegree)[p=0.1],4,150,100,2.6625,0.23551804601770965
FirstFit(HeuristicDegree)[p=0.1],4,200,100,2.9775,0.3825816906230616
FirstFit(HeuristicDegree)[p=0.1],4,300,100,3.68,0.5339475629684998
FirstFit(HeuristicDegree)[p=0.1],4,400,100,4.245,0.584144673860851
FirstFit(HeuristicDegree)[p=0.1],4,500,100,4.795,0.6474758682761853
FirstFit(HeuristicDegree)[p=0.1],4,600,100,5.09,1.084850220076486
FirstFit(HeuristicDegree)[p=0.1],4,700,100,5.7525,0.9161706991603693
FirstFit(HeuristicDegree)[p=0.1],4,800,100,6.0325,0.9149146135022656
FirstFit(HeuristicDegree)[p=0.1],4,900,100,6.3725,1.2152648888205402
FirstFit(HeuristicDegree)[p=0.1],4,1000,100,6.9475,1.0501755805578417
FirstFit[p=0.2],2,50,100,1.715,0.6973342096871485
FirstFit[p=0.2],2,100,100,1.975,0.8613216588476108
FirstFit[p=0.2],2,150,100,1.945,0.8333516664650045
FirstFit[p=0.2],2,200,100,2.115,1.095114149301341
FirstFit[p=0.2],2,300,100,1.995,0.9937177667728397
FirstFit[p=0.2],2,400,100,1.97,0.9970456358662827
FirstFit[p=0.2],2,500,100,2.14,1.0795369377654476
FirstFit[p=0.2],2,600,100,2.115,1.0673682588497748
FirstFit[p=0.2],2,700,100,2.185,1.0598466870260057
FirstFit[p=0.2],2,800,100,2.225,1.2636751956100112
FirstFit[p=0.2],2,900,100,2.045,1.1897373659762056
FirstFit[p=0.2],2,1000,100,1.965,1.0228758477938562
FirstFit[p=0.2],3,50,100,2.16,0.5152777029050559
FirstFit[p=0.2],3,100,100,2.6866666666666665,0.8052880781986586
FirstFit[p=0.2],3,150,100,2.98,1.068560818214023
FirstFit[p=0.2],3,200,100,3.15,1.240407639089308
FirstFit[p=0.2],3,300,100,3.4466666666666668,1.2483055181591831
FirstFit[p=0.2],3,400,100,3.7333333333333334,1.5951314818673865
FirstFit[p=0.2],3,500,100,3.8733333333333335,1.8896090130559342
FirstFit[p=0.2],3,600,100,3.973333333333333,1.8783444246936656
FirstFit[p=0.2],3,700,100,3.716666666666667,1.9744900888865236
FirstFit[p=0.2],3,800,100,3.73,1.7642719619025735
FirstFit[p=0.2],3,900,100,4.016666666666667,1.9022647321314432
FirstFit[p=0.2],3,1000,100,3.6866666666666665,1.8955034511531055
FirstFit[p=0.2],4,50,100,2.17,0.3159905061864992
FirstFit[p=0.2],4,100,100,2.7125,0.5295930041078715
FirstFit[p=0.2],4,150,100,3.375,0.6722164829874376
FirstFit[p=0.2],4,200,100,3.73,1.017152889196113
FirstFit[p=0.2],4,300,100,4.5925,1.1366920207338485
FirstFit[p=0.2],4,400,100,4.755,1.471810110034579
FirstFit[p=0.2],4,500,100,5.4575,1.6190487176116721
FirstFit[p=0.2],4,600,100,5.88,1.7619165701020012
FirstFit[p=0.2],4,700,100,5.89,1.796635744941083
FirstFit[p=0.2],4,800,100,5.855,1.9287884798494623
FirstFit[p=0.2],4,900,100,5.8325,2.4960105668846837
FirstFit[p=0.2],4,1000,100,5.895,2.2531034152918945
CBIP[p=0.2],2,50,100,1.465,0.3824591481452627
CBIP[p=0.2],2,100,100,1.56,0.3760319135392633
CBIP[p=0.2],2,150,100,1.56,0.35552777669262353
