Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFitBatchDegree(size=10),2,50,100,0.05,1.94,0.3337663853655727,10.0
FirstFitBatchDegree(size=10),2,100,100,0.05,2.47,0.473392015141785,10.0
FirstFitBatchDegree(size=10),2,150,100,0.05,2.825,0.5261891294962298,10.0
FirstFitBatchDegree(size=10),2,200,100,0.05,3.25,0.6062177826491071,10.0
FirstFitBatchDegree(size=10),2,300,100,0.05,3.595,0.7959114272329554,10.0
FirstFitBatchDegree(size=10),2,400,100,0.05,4.13,0.8905616205518853,10.0
FirstFitBatchDegree(size=10),2,500,100,0.05,4.4,0.8717797887081347,10.0
FirstFitBatchDegree(size=10),2,600,100,0.05,4.54,0.973858305915188,10.0
FirstFitBatchDegree(size=10),2,700,100,0.05,4.795,1.138189351557991,10.0
FirstFitBatchDegree(size=10),2,800,100,0.05,5.1,1.0816653826391969,10.0
FirstFitBatchDegree(size=10),2,900,100,0.05,4.95,1.2114041439585717,10.0
FirstFitBatchDegree(size=10),2,1000,100,0.05,5.08,1.320454467219525,10.0
FirstFitBatchDegree(size=10),3,50,100,0.05,1.8233333333333333,0.1792267341169341,10.0
FirstFitBatchDegree(size=10),3,100,100,0.05,2.283333333333333,0.1724013405464766,10.0
FirstFitBatchDegree(size=10),3,150,100,0.05,2.7366666666666664,0.1960442127004348,10.0
FirstFitBatchDegree(size=10),3,200,100,0.05,3.1,0.1972026594366539,10.0
FirstFitBatchDegree(size=10),3,300,100,0.05,3.76,0.2497999199359359,10.0
FirstFitBatchDegree(size=10),3,400,100,0.05,4.383333333333333,0.2511086528886562,10.0
FirstFitBatchDegree(size=10),3,500,100,0.05,4.843333333333334,0.3035164282575527,10.0
FirstFitBatchDegree(size=10),3,600,100,0.05,5.326666666666666,0.3017725412735007,10.0
FirstFitBatchDegree(size=10),3,700,100,0.05,5.763333333333334,0.3952355134740691,10.0
FirstFitBatchDegree(size=10),3,800,100,0.05,6.27,0.3611555528208494,10.0
FirstFitBatchDegree(size=10),3,900,100,0.05,6.566666666666666,0.5174724898753341,10.0
FirstFitBatchDegree(size=10),3,1000,100,0.05,6.98,0.5574146671115777,10.0
FirstFitBatchDegree(size=10),4,50,100,0.05,1.6075,0.1468630314272451,10.0
FirstFitBatchDegree(size=10),4,100,100,0.05,2.0125,0.1243734296383275,10.0
FirstFitBatchDegree(size=10),4,150,100,0.05,2.3525,0.1418405795250428,10.0
FirstFitBatchDegree(size=10),4,200,100,0.05,2.6775,0.1336740438529485,10.0
FirstFitBatchDegree(size=10),4,300,100,0.05,3.2275,0.1373635686781615,10.0
FirstFitBatchDegree(size=10),4,400,100,0.05,3.7625,0.1515544456622767,10.0
FirstFitBatchDegree(size=10),4,500,100,0.05,4.225,0.1677050983124842,10.0
FirstFitBatchDegree(size=10),4,600,100,0.05,4.69,0.1736375535418534,10.0
FirstFitBatchDegree(size=10),4,700,100,0.05,5.1575,0.1442870403050807,10.0
FirstFitBatchDegree(size=10),4,800,100,0.05,5.5375,0.2218529918662356,10.0
FirstFitBatchDegree(size=10),4,900,100,0.05,6.0,0.1695582495781317,10.0
FirstFitBatchDegree(size=10),4,1000,100,0.05,6.365,0.1782554346997588,10.0
FirstFitBatchDegree(size=50),2,50,100,0.05,1.37,0.4160528812542944,50.0
FirstFitBatchDegree(size=50),2,100,100,0.05,2.135,0.5824731753480155,50.0
FirstFitBatchDegree(size=50),2,150,100,0.05,2.515,0.7920069444139994,50.0
FirstFitBatchDegree(size=50),2,200,100,0.05,2.985,0.7760637860382353,50.0
FirstFitBatchDegree(size=50),2,300,100,0.05,3.31,0.9021640649017229,50.0
FirstFitBatchDegree(size=50),2,400,100,0.05,3.775,0.9858372076565176,50.0
FirstFitBatchDegree(size=50),2,500,100,0.05,3.95,1.35,50.0
FirstFitBatchDegree(size=50),2,600,100,0.05,4.19,1.2283729075488437,50.0
FirstFitBatchDegree(size=50),2,700,100,0.05,4.3,1.489966442575134,50.0
FirstFitBatchDegree(size=50),2,800,100,0.05,4.67,1.3914381049834736,50.0
FirstFitBatchDegree(size=50),2,900,100,0.05,4.89,1.38307628133809,50.0
FirstFitBatchDegree(size=50),2,1000,100,0.05,4.7,1.3546217184144067,50.0
FirstFitBatchDegree(size=50),3,50,100,0.05,1.59,0.1935343782265971,50.0
FirstFitBatchDegree(size=50),3,100,100,0.05,2.1633333333333336,0.2185558662371401,50.0
FirstFitBatchDegree(size=50),3,150,100,0.05,2.5866666666666664,0.2315167380558044,50.0
FirstFitBatchDegree(size=50),3,200,100,0.05,3.03,0.2542745672605807,50.0
FirstFitBatchDegree(size=50),3,300,100,0.05,3.71,0.2567099530598687,50.0
FirstFitBatchDegree(size=50),3,400,100,0.05,4.276666666666666,0.2750959428595373,50.0
FirstFitBatchDegree(size=50),3,500,100,0.05,4.793333333333333,0.2973213749463701,50.0
FirstFitBatchDegree(size=50),3,600,100,0.05,5.206666666666667,0.4049142570416058,50.0
FirstFitBatchDegree(size=50),3,700,100,0.05,5.756666666666667,0.3491418050019218,50.0
FirstFitBatchDegree(size=50),3,800,100,0.05,6.11,0.4990101312710104,50.0
FirstFitBatchDegree(size=50),3,900,100,0.05,6.46,0.4516143881183986,50.0
FirstFitBatchDegree(size=50),3,1000,100,0.05,6.98,0.5329582014046171,50.0
FirstFitBatchDegree(size=50),4,50,100,0.05,1.46,0.1157583690279022,50.0
FirstFitBatchDegree(size=50),4,100,100,0.05,1.885,0.1388344337691482,50.0
FirstFitBatchDegree(size=50),4,150,100,0.05,2.285,0.1370218960604472,50.0
FirstFitBatchDegree(size=50),4,200,100,0.05,2.5975,0.1409565535901045,50.0
FirstFitBatchDegree(size=50),4,300,100,0.05,3.195,0.135,50.0
FirstFitBatchDegree(size=50),4,400,100,0.05,3.715,0.1620956507744732,50.0
FirstFitBatchDegree(size=50),4,500,100,0.05,4.175,0.1713913650100261,50.0
FirstFitBatchDegree(size=50),4,600,100,0.05,4.66,0.1521512405470294,50.0
FirstFitBatchDegree(size=50),4,700,100,0.05,5.1125,0.1595893166850463,50.0
FirstFitBatchDegree(size=50),4,800,100,0.05,5.505,0.1767059704707229,50.0
FirstFitBatchDegree(size=50),4,900,100,0.05,5.905,0.1896707673839066,50.0
FirstFitBatchDegree(size=50),4,1000,100,0.05,6.305,0.1856744462762714,50.0
FirstFitBatchDegree(size=10),2,50,100,0.1,1.925,0.5494315243958978,10.0
FirstFitBatchDegree(size=10),2,100,100,0.1,2.495,0.7365290218314551,10.0
FirstFitBatchDegree(size=10),2,150,100,0.1,2.625,0.9908960591303206,10.0
FirstFitBatchDegree(size=10),2,200,100,0.1,2.87,1.0407209039891532,10.0
FirstFitBatchDegree(size=10),2,300,100,0.1,3.06,1.2212288892750611,10.0
FirstFitBatchDegree(size=10),2,400,100,0.1,3.3,1.407124727947029,10.0
FirstFitBatchDegree(size=10),2,500,100,0.1,3.485,1.6053893608716858,10.0
FirstFitBatchDegree(size=10),2,600,100,0.1,3.075,1.4271912976192085,10.0
FirstFitBatchDegree(size=10),2,700,100,0.1,3.35,1.7036725037400822,10.0
FirstFitBatchDegree(size=10),2,800,100,0.1,3.865,1.7100511688250737,10.0
FirstFitBatchDegree(size=10),2,900,100,0.1,3.88,1.928885688681421,10.0
FirstFitBatchDegree(size=10),2,1000,100,0.1,3.595,1.8202953057127849,10.0
FirstFitBatchDegree(size=10),3,50,100,0.1,2.0933333333333333,0.2360790827950103,10.0
FirstFitBatchDegree(size=10),3,100,100,0.1,2.7466666666666666,0.3201388587611458,10.0
FirstFitBatchDegree(size=10),3,150,100,0.1,3.27,0.4659399102888697,10.0
FirstFitBatchDegree(size=10),3,200,100,0.1,3.78,0.5168709273653873,10.0
FirstFitBatchDegree(size=10),3,300,100,0.1,4.336666666666667,0.7187875594051107,10.0
FirstFitBatchDegree(size=10),3,400,100,0.1,5.0,0.7731609003162134,10.0
FirstFitBatchDegree(size=10),3,500,100,0.1,5.56,1.056072388091313,10.0
FirstFitBatchDegree(size=10),3,600,100,0.1,6.07,1.0135690515313804,10.0
FirstFitBatchDegree(size=10),3,700,100,0.1,6.463333333333333,1.128317331250389,10.0
FirstFitBatchDegree(size=10),3,800,100,0.1,6.57,1.3534277471171732,10.0
FirstFitBatchDegree(size=10),3,900,100,0.1,7.123333333333333,1.4123699546821609,10.0
FirstFitBatchDegree(size=10),3,1000,100,0.1,7.316666666666666,1.4954560805616757,10.0
FirstFitBatchDegree(size=10),4,50,100,0.1,1.84,0.1601561737804696,10.0
FirstFitBatchDegree(size=10),4,100,100,0.1,2.4725,0.1900493356999703,10.0
FirstFitBatchDegree(size=10),4,150,100,0.1,3.01,0.1997498435543818,10.0
FirstFitBatchDegree(size=10),4,200,100,0.1,3.505,0.215,10.0
FirstFitBatchDegree(size=10),4,300,100,0.1,4.3725,0.2839344114403888,10.0
FirstFitBatchDegree(size=10),4,400,100,0.1,5.155,0.3036856927812043,10.0
FirstFitBatchDegree(size=10),4,500,100,0.1,5.745,0.4329838334164452,10.0
FirstFitBatchDegree(size=10),4,600,100,0.1,6.3425,0.4945389266781736,10.0
FirstFitBatchDegree(size=10),4,700,100,0.1,6.8425,0.5369532102520665,10.0
FirstFitBatchDegree(size=10),4,800,100,0.1,7.45,0.7754031209635411,10.0
FirstFitBatchDegree(size=10),4,900,100,0.1,8.01,0.6999285677838847,10.0
FirstFitBatchDegree(size=10),4,1000,100,0.1,8.48,0.906697303403953,10.0
FirstFitBatchDegree(size=50),2,50,100,0.1,1.35,0.507444578254611,50.0
FirstFitBatchDegree(size=50),2,100,100,0.1,1.785,0.8522176951929595,50.0
FirstFitBatchDegree(size=50),2,150,100,0.1,1.96,0.9451983918733676,50.0
FirstFitBatchDegree(size=50),2,200,100,0.1,2.055,1.1177991769544295,50.0
FirstFitBatchDegree(size=50),2,300,100,0.1,2.495,1.3067038685180357,50.0
FirstFitBatchDegree(size=50),2,400,100,0.1,2.59,1.4515164484083534,50.0
FirstFitBatchDegree(size=50),2,500,100,0.1,2.635,1.5343646893747265,50.0
FirstFitBatchDegree(size=50),2,600,100,0.1,2.695,1.561881877735957,50.0
FirstFitBatchDegree(size=50),2,700,100,0.1,3.175,1.75695048308141,50.0
FirstFitBatchDegree(size=50),2,800,100,0.1,2.925,1.6678953804120928,50.0
FirstFitBatchDegree(size=50),2,900,100,0.1,2.95,1.7471405209656148,50.0
FirstFitBatchDegree(size=50),2,1000,100,0.1,3.23,1.9344508264621252,50.0
FirstFitBatchDegree(size=50),3,50,100,0.1,1.68,0.4025474437186808,50.0
FirstFitBatchDegree(size=50),3,100,100,0.1,2.48,0.4674279504788827,50.0
FirstFitBatchDegree(size=50),3,150,100,0.1,3.0033333333333334,0.5153100469081158,50.0
FirstFitBatchDegree(size=50),3,200,100,0.1,3.526666666666667,0.6979016167531542,50.0
FirstFitBatchDegree(size=50),3,300,100,0.1,4.416666666666667,0.6555320146432378,50.0
FirstFitBatchDegree(size=50),3,400,100,0.1,4.78,1.1364858116140295,50.0
FirstFitBatchDegree(size=50),3,500,100,0.1,5.33,1.0148836824429135,50.0
FirstFitBatchDegree(size=50),3,600,100,0.1,5.593333333333334,1.4395832730342486,50.0
FirstFitBatchDegree(size=50),3,700,100,0.1,6.04,1.328558115652705,50.0
FirstFitBatchDegree(size=50),3,800,100,0.1,6.486666666666666,1.2652799426740842,50.0
FirstFitBatchDegree(size=50),3,900,100,0.1,6.6866666666666665,1.669876908304588,50.0
FirstFitBatchDegree(size=50),3,1000,100,0.1,7.08,1.574180562846729,50.0
FirstFitBatchDegree(size=50),4,50,100,0.1,1.6475,0.1873999733191016,50.0
FirstFitBatchDegree(size=50),4,100,100,0.1,2.3225,0.1945989465541887,50.0
FirstFitBatchDegree(size=50),4,150,100,0.1,2.8825,0.1852532051004786,50.0
FirstFitBatchDegree(size=50),4,200,100,0.1,3.405,0.1929378138157473,50.0
FirstFitBatchDegree(size=50),4,300,100,0.1,4.305,0.248947785690092,50.0
FirstFitBatchDegree(size=50),4,400,100,0.1,5.0225,0.3164154705446622,50.0
FirstFitBatchDegree(size=50),4,500,100,0.1,5.74,0.4241462012089699,50.0
FirstFitBatchDegree(size=50),4,600,100,0.1,6.4175,0.4664426545675256,50.0
FirstFitBatchDegree(size=50),4,700,100,0.1,6.885,0.5378429138698398,50.0
FirstFitBatchDegree(size=50),4,800,100,0.1,7.4025,0.6392329387633275,50.0
FirstFitBatchDegree(size=50),4,900,100,0.1,8.0375,0.6367642813475015,50.0
