Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFit,2,50,100,0.05,2.04,0.3056141357987225,
FirstFit,2,100,100,0.05,2.515,0.4327528162819972,
FirstFit,2,150,100,0.05,2.795,0.5342986056504359,
FirstFit,2,200,100,0.05,3.245,0.5361669516111562,
FirstFit,2,300,100,0.05,3.7,0.7713624310270756,
FirstFit,2,400,100,0.05,4.16,0.6923871749245505,
FirstFit,2,500,100,0.05,4.26,0.9525754563287888,
FirstFit,2,600,100,0.05,4.575,0.928372231381357,
FirstFit,2,700,100,0.05,4.7,1.1532562594670797,
FirstFit,2,800,100,0.05,4.96,1.215894732285653,
FirstFit,2,900,100,0.05,5.29,1.229186723000212,
FirstFit,2,1000,100,0.05,5.15,1.2278029157808674,
FirstFit,3,50,100,0.05,1.8733333333333333,0.1872609587358418,
FirstFit,3,100,100,0.05,2.36,0.1866666666666666,
FirstFit,3,150,100,0.05,2.7333333333333334,0.2357022603955158,
FirstFit,3,200,100,0.05,3.103333333333333,0.203824543282806,
FirstFit,3,300,100,0.05,3.78,0.2271563338320109,
FirstFit,3,400,100,0.05,4.3133333333333335,0.2530700386146975,
FirstFit,3,500,100,0.05,4.823333333333333,0.3604164258188019,
FirstFit,3,600,100,0.05,5.366666666666666,0.3144660377352202,
FirstFit,3,700,100,0.05,5.72,0.3964284999284935,
FirstFit,3,800,100,0.05,6.223333333333334,0.3973663297261106,
FirstFit,3,900,100,0.05,6.61,0.4321908014857429,
FirstFit,3,1000,100,0.05,6.943333333333333,0.5375975363700164,
FirstFit,4,50,100,0.05,1.6325,0.1518840017908403,
FirstFit,4,100,100,0.05,2.0375,0.1386317063301177,
FirstFit,4,150,100,0.05,2.3675,0.1296871234934293,
FirstFit,4,200,100,0.05,2.6775,0.1553021249049735,
FirstFit,4,300,100,0.05,3.2325,0.1468630314272451,
FirstFit,4,400,100,0.05,3.785,0.1541914394510927,
FirstFit,4,500,100,0.05,4.235,0.1651514456491374,
FirstFit,4,600,100,0.05,4.7075,0.1838987493160298,
FirstFit,4,700,100,0.05,5.1175,0.167537309277665,
FirstFit,4,800,100,0.05,5.565,0.1605459435800232,
FirstFit,4,900,100,0.05,5.9525,0.1926622692693097,
FirstFit,4,1000,100,0.05,6.3625,0.2011684617428885,
CBIP,2,50,100,0.05,1.91,0.2586503431275512,
CBIP,2,100,100,0.05,1.985,0.2688401011754013,
CBIP,2,150,100,0.05,2.005,0.2692118125194361,
CBIP,2,200,100,0.05,2.045,0.2132486811213612,
CBIP,2,300,100,0.05,2.06,0.276405499221705,
CBIP,2,400,100,0.05,2.05,0.229128784747792,
CBIP,2,500,100,0.05,2.035,0.2669737814842499,
CBIP,2,600,100,0.05,2.045,0.2459166525471587,
CBIP,2,700,100,0.05,2.07,0.2238302928559939,
CBIP,2,800,100,0.05,2.07,0.2451530134426252,
CBIP,2,900,100,0.05,2.06,0.2477902338672773,
CBIP,2,1000,100,0.05,2.05,0.206155281280883,
FirstFit(HeuristicDegree),2,50,100,0.05,1.37,0.4160528812542944,
FirstFit(HeuristicDegree),2,100,100,0.05,1.68,0.642339474110069,
FirstFit(HeuristicDegree),2,150,100,0.05,1.955,0.7908697743623788,
FirstFit(HeuristicDegree),2,200,100,0.05,2.135,0.8968138045324682,
FirstFit(HeuristicDegree),2,300,100,0.05,2.555,1.0341542438147222,
FirstFit(HeuristicDegree),2,400,100,0.05,2.695,1.165965265348844,
