Base,k,n,N,pVal,AvgCompetitiveRatio,StdDev,BatchSize
FirstFit(HeuristicDegree),2,50,100,0.05,1.37,0.4160528812542944,
FirstFit(HeuristicDegree),2,100,100,0.05,1.68,0.642339474110069,
FirstFit(HeuristicDegree),2,150,100,0.05,1.955,0.7908697743623788,
FirstFit(HeuristicDegree),2,200,100,0.05,2.135,0.8968138045324682,
FirstFit(HeuristicDegree),2,300,100,0.05,2.555,1.0341542438147222,
FirstFit(HeuristicDegree),2,400,100,0.05,2.695,1.165965265348844,
FirstFit(HeuristicDegree),2,500,100,0.05,2.535,1.3327696725241012,
FirstFit(HeuristicDegree),2,600,100,0.05,2.95,1.439618004888797,
FirstFit(HeuristicDegree),2,700,100,0.05,3.02,1.526302722267113,
FirstFit(HeuristicDegree),2,800,100,0.05,3.135,1.4813085431469029,
FirstFit(HeuristicDegree),2,900,100,0.05,3.51,1.5921369287847074,
FirstFit(HeuristicDegree),2,1000,100,0.05,3.39,1.697910480561328,
FirstFit(HeuristicDegree),3,50,100,0.05,1.59,0.1935343782265971,
FirstFit(HeuristicDegree),3,100,100,0.05,1.99,0.2378374795247096,
FirstFit(HeuristicDegree),3,150,100,0.05,2.373333333333333,0.2416609194718914,
FirstFit(HeuristicDegree),3,200,100,0.05,2.69,0.3597993267858564,
FirstFit(HeuristicDegree),3,300,100,0.05,3.21,0.3185208871574289,
FirstFit(HeuristicDegree),3,400,100,0.05,3.6566666666666663,0.460567283056691,
FirstFit(HeuristicDegree),3,500,100,0.05,4.006666666666667,0.512032985048598,
FirstFit(HeuristicDegree),3,600,100,0.05,4.54,0.5711197578247296,
FirstFit(HeuristicDegree),3,700,100,0.05,4.753333333333333,0.6593262554389223,
FirstFit(HeuristicDegree),3,800,100,0.05,5.02,0.7284992183325327,
FirstFit(HeuristicDegree),3,900,100,0.05,5.35,0.8450838222724812,
FirstFit(HeuristicDegree),3,1000,100,0.05,5.656666666666666,1.0005054278269114,
FirstFit(HeuristicDegree),4,50,100,0.05,1.46,0.1157583690279022,
FirstFit(HeuristicDegree),4,100,100,0.05,1.8075,0.1164849775722174,
FirstFit(HeuristicDegree),4,150,100,0.05,2.1075,0.1380896447964147,
FirstFit(HeuristicDegree),4,200,100,0.05,2.4025,0.1409565535901045,
FirstFit(HeuristicDegree),4,300,100,0.05,2.91,0.1392838827718412,
FirstFit(HeuristicDegree),4,400,100,0.05,3.34,0.2046948949045872,
FirstFit(HeuristicDegree),4,500,100,0.05,3.8,0.1802775637731994,
FirstFit(HeuristicDegree),4,600,100,0.05,4.1925,0.211704392963396,
FirstFit(HeuristicDegree),4,700,100,0.05,4.65,0.1903943276465977,
FirstFit(HeuristicDegree),4,800,100,0.05,4.965,0.255,
FirstFit(HeuristicDegree),4,900,100,0.05,5.3125,0.2328492001274644,
FirstFit(HeuristicDegree),4,1000,100,0.05,5.7,0.2806243040080456,
FirstFit(HeuristicDegree),2,50,100,0.1,1.35,0.507444578254611,
FirstFit(HeuristicDegree),2,100,100,0.1,1.44,0.641404708432983,
FirstFit(HeuristicDegree),2,150,100,0.1,1.535,0.8070161088850705,
FirstFit(HeuristicDegree),2,200,100,0.1,1.575,0.9337424698491548,
FirstFit(HeuristicDegree),2,300,100,0.1,1.68,1.021077861869505,
FirstFit(HeuristicDegree),2,400,100,0.1,1.74,1.085080642164443,
FirstFit(HeuristicDegree),2,500,100,0.1,1.855,1.2654939746992082,
FirstFit(HeuristicDegree),2,600,100,0.1,1.815,1.2178977789617649,
FirstFit(HeuristicDegree),2,700,100,0.1,1.835,1.3191948301899914,
FirstFit(HeuristicDegree),2,800,100,0.1,1.81,1.344953530795767,
FirstFit(HeuristicDegree),2,900,100,0.1,1.915,1.3875427921329129,
FirstFit(HeuristicDegree),2,1000,100,0.1,1.865,1.438497480011696,
FirstFit(HeuristicDegree),3,50,100,0.1,1.68,0.4025474437186808,
FirstFit(HeuristicDegree),3,100,100,0.1,2.1333333333333333,0.5734883511361751,
FirstFit(HeuristicDegree),3,150,100,0.1,2.486666666666667,0.7061948110196726,
FirstFit(HeuristicDegree),3,200,100,0.1,2.563333333333333,0.9051641962772402,
FirstFit(HeuristicDegree),3,300,100,0.1,3.1533333333333333,1.2538119653458586,
FirstFit(HeuristicDegree),3,400,100,0.1,3.63,1.2381841543163117,
FirstFit(HeuristicDegree),3,500,100,0.1,3.736666666666667,1.4562470791577766,
FirstFit(HeuristicDegree),3,600,100,0.1,3.8166666666666655,1.6352879461020515,
FirstFit(HeuristicDegree),3,700,100,0.1,4.416666666666667,1.77035777928267,
FirstFit(HeuristicDegree),3,800,100,0.1,4.506666666666667,1.873487538137245,
FirstFit(HeuristicDegree),3,900,100,0.1,4.423333333333333,2.1201965317708957,
FirstFit(HeuristicDegree),3,1000,100,0.1,5.013333333333334,1.8867491148062645,
FirstFit(HeuristicDegree),4,50,100,0.1,1.6475,0.1873999733191016,
FirstFit(HeuristicDegree),4,100,100,0.1,2.105,0.265,
FirstFit(HeuristicDegree),4,150,100,0.1,2.6625,0.2355180460177096,
FirstFit(HeuristicDegree),4,200,100,0.1,2.9775,0.3825816906230616,
FirstFit(HeuristicDegree),4,300,100,0.1,3.68,0.5339475629684998,
FirstFit(HeuristicDegree),4,400,100,0.1,4.245,0.584144673860851,
FirstFit(HeuristicDegree),4,500,100,0.1,4.795,0.6474758682761853,
FirstFit(HeuristicDegree),4,600,100,0.1,5.09,1.084850220076486,
FirstFit(HeuristicDegree),4,700,100,0.1,5.7525,0.9161706991603692,
FirstFit(HeuristicDegree),4,800,100,0.1,6.0325,0.9149146135022656,
FirstFit(HeuristicDegree),4,900,100,0.1,6.3725,1.2152648888205402,
FirstFit(HeuristicDegree),4,1000,100,0.1,6.9475,1.0501755805578417,
FirstFit(HeuristicDegree),2,50,100,0.2,1.065,0.2080264406271472,
FirstFit(HeuristicDegree),2,100,100,0.2,1.11,0.2791057147390572,
FirstFit(HeuristicDegree),2,150,100,0.2,1.14,0.3746998799039039,
FirstFit(HeuristicDegree),2,200,100,0.2,1.115,0.3453621287865825,
FirstFit(HeuristicDegree),2,300,100,0.2,1.195,0.5093868863643822,
FirstFit(HeuristicDegree),2,400,100,0.2,1.15,0.3570714214271425,
FirstFit(HeuristicDegree),2,500,100,0.2,1.195,0.4893618293246828,
FirstFit(HeuristicDegree),2,600,100,0.2,1.195,0.5696270709859215,
FirstFit(HeuristicDegree),2,700,100,0.2,1.21,0.4592385001282013,
FirstFit(HeuristicDegree),2,800,100,0.2,1.205,0.4005933099790859,
FirstFit(HeuristicDegree),2,900,100,0.2,1.175,0.4322904116447645,
FirstFit(HeuristicDegree),2,1000,100,0.2,1.355,0.6530505340323979,
FirstFit(HeuristicDegree),3,50,100,0.2,1.3833333333333333,0.51720402163943,
FirstFit(HeuristicDegree),3,100,100,0.2,1.5166666666666666,0.6487166818676188,
